Fecha,Hora,Área Solicitante,N° OT,Evento / Actividad,Ubicación,Requerimientos,Prioridad,Categoría,Estado
29/05/2026,08:00,Seguridad,OT-00125,Simulacro Multipeligro,,Coordinación con brigadas y rutas de evacuación,Alta,Institucional,Ejecutado
31/05/2026,08:00,VGU,OT-81043,evento lote 28,,"4 toldos, 4 mesas, 4 manteles, sillas",Alta,Institucional,Pendiente
31/05/2026,08:00,Psicopedagogico,CORREO,evento lote 28,,1 extension para parlante,Alta,Institucional,Pendiente
31/05/2026,09:00,Enfermeria,CORREO,Auditorio Pabellon O,,"Sillas, Podium, Mesas",Alta,Institucional,Pendiente
31/05/2026,09:00,Estomatologia,,Canchas deportivas,,ninguno,Media,Institucional,Pendiente
30/05/2026,08:00,Servicios Generrales,,Cumpleaños Juan Hernandez,,,Alta,Equipo villa,Ejecutado
01/06/2026,08:00,SST,CORREO,Capacitacion SST,,Presencial,Alta,Corporativo,Pendiente
09/06/2026,08:00,CARRERA DE INGIENERIA,CORREO,Concurso de Ingieneria Civil,,mesas,Media,Institucional,Pendiente
09/06/2026,08:00,CARRERA DE INGIENERIA,CORREO,Feria de Papers,,mesas,Media,Institucional,Pendiente
24/06/2026,08:00,INGIENERIA AMBIENTAL,SOL 9606,Feria Ambiental 2026,Sede Villa – Hall del Pabellón N,"Requerimiento:
10 mesas con mantel
20 sillas
Tomas eléctricas cercanas o extensiones eléctricas para stands (de ser posible)
Layout:
Se requiere retirar los muebles del hall y colocar las mesas alrededor del espacio.
La exhibición de EKOVA será reubicada hacia el lado de la escalera",Alta,Institucional,Pendiente
25/06/2026,08:00,INGIENERIA AMBIENTAL,sol 9697,Workshop de Líderes en Circularidad,Hall del segundo piso – Pabellón O,"Requerimiento:
7 mesas con mantel
49 sillas
2 micrófonos inalámbricos con pilas nuevas
Equipo de sonido operativo
Proyector y conexión HDMI
Mesa adicional para coffee break
Layout:
Se colocarán 07 mesas en formato workshop con 07 sillas por mesa.
01 mesa será destinada al coffee break.
Se requiere retirar los muebles del hall frente al auditorio, ya que se implementará un espacio para fotos y networking.
Se requiere apoyo para el brandeo del espacio en coordinación con @Maria Luisa Leveau Besarez.",Alta,Institucional,Pendiente
25/06/2026,08:00,INGIENERIA AMBIENTAL,sol 9608,Ciclo de Conferencias: “Zero Waste: Ecodiseño y Negocios Sostenibles”,Sede Villa – Hall del Pabellón N,"Requerimiento:
40 sillas
Televisor con parante
Podio
Equipo de sonido con 2 micrófonos inalámbricos con pilas nuevas
Extensión eléctrica
Layout:
Las sillas se colocarán en formato auditorio orientadas hacia el televisor.
Se requiere retirar los muebles del hall.
La exhibición de EKOVA será reubicada temporalmente.
Se requiere apoyo para el brandeo del espacio en coordinación con @Maria Luisa Leveau Besarez.",Alta,Institucional,Pendiente
22/06/2026,10:00,INGIENERIA AMBIENTAL,sol 9609,Exhibición: Biomateriales – EKOVA,Sede Villa – Hall del Pabellón N,"Instalación:
22 de junio – 10:00 a.m.
Retiro:
06 de julio – 10:00 a.m.
Sede Villa – Hall del Pabellón N
Requerimiento:
Retiro parcial de muebles para la implementación de la exhibición
Apoyo para ingreso y salida de materiales",Alta,Institucional,Pendiente
